listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
7745845,0.35342465753424657,129,236,365,1.9972602739726026,31.0,24
7822937,0.2273972602739726,83,282,365,1.2876712328767124,14.0,7
7830452,0.7945205479452054,290,75,365,1.1397260273972603,1125.0,52
7871515,0.0,0,365,365,2.0,1125.0,1
7923907,0.9671232876712329,353,12,365,1.0246575342465754,29.495890410958904,21
7985569,1.0,365,0,365,2.0,356.0,1
8282692,0.23835616438356164,87,278,365,1.0,1125.0,3
8355521,0.8931506849315068,326,39,365,1.0,1125.0,38
8367483,0.3150684931506849,115,250,365,28.0,85.0,3
8555634,1.0,365,0,365,1.0,1125.0,1
8560806,0.9972602739726028,364,1,365,7.0,1125.0,2
8573282,0.9835616438356164,359,6,365,1.0,1125.0,10
8855792,0.0,0,365,365,7.0,1125.0,1
8897537,0.3917808219178082,143,222,365,2.0,1125.0,23
9048382,0.6438356164383562,235,130,365,1.2931506849315069,1125.0,59
9149250,0.8054794520547945,294,71,365,3.0,1125.0,8
9180416,0.9397260273972603,343,22,365,2.0,1125.0,22
9187226,0.06575342465753424,24,341,365,1.0,30.0,3
9198594,0.6328767123287671,231,134,365,28.0,1125.0,5
9216464,0.019178082191780823,7,358,365,3.0,1125.0,3
9228916,0.07671232876712329,28,337,365,2.3123287671232875,1125.0,13
9249626,1.0,365,0,365,5.0,30.0,1
9327852,0.7123287671232876,260,105,365,2.0,1125.0,15
9347756,0.4931506849315068,180,185,365,2.0,1125.0,2
9365920,0.8602739726027397,314,51,365,1.0,1125.0,7
9489085,0.9945205479452055,363,2,365,28.0,1125.0,2
9555264,0.4575342465753425,167,198,365,2.0,1125.0,9
9561572,0.726027397260274,265,100,365,1.0,1125.0,80
9611528,0.44931506849315067,164,201,365,2.0,1125.0,7
9662753,0.9205479452054794,336,29,365,1.0273972602739727,1125.0,2
9837625,0.0,0,365,365,2.0,2.0,1
10066311,0.4246575342465753,155,210,365,1.0,1125.0,25
10085259,0.2219178082191781,81,284,365,14.0,150.0,3
10093023,0.0,0,365,365,2.0,45.0,1
10303617,0.9863013698630136,360,5,365,1.0,2.0,8
10379829,0.4931506849315068,180,185,365,28.0,700.0,2
10383591,0.2273972602739726,83,282,365,14.0,1125.0,3
10397953,0.4438356164383562,162,203,365,2.9835616438356163,1125.0,16
10525046,0.4410958904109589,161,204,365,1.2821917808219179,1094.2712328767122,9
10539658,0.9095890410958904,332,33,365,1.0246575342465754,29.972602739726028,40
10561424,0.8684931506849315,317,48,365,1.0,1125.0,4
10587645,0.019178082191780823,7,358,365,1.0,30.0,5
10858191,0.473972602739726,173,192,365,2.0,1125.0,28
10883107,0.947945205479452,346,19,365,4.0,1125.0,2
10892941,0.1506849315068493,55,310,365,14.0,1125.0,3
11177762,0.9808219178082191,358,7,365,2.0,1125.0,7
11181796,0.0,0,365,365,2.0,1125.0,1
11204792,0.9534246575342465,348,17,365,2.0,1125.0,17
11207133,0.24383561643835616,89,276,365,3.0,90.0,3
11234602,0.5589041095890411,204,161,365,1.873972602739726,987.0,37
11323697,0.9835616438356164,359,6,365,2.0,1125.0,6
11376643,0.2410958904109589,88,277,365,2.0,1125.0,3
11485932,0.9698630136986301,354,11,365,2.0082191780821916,365.0,8
11505235,0.27671232876712326,101,264,365,18.326027397260273,720.9589041095891,11
11508977,0.8383561643835616,306,59,365,2.0,31.0,4
11509303,0.821917808219178,300,65,365,1.0,31.0,10
11509500,0.6493150684931507,237,128,365,3.0,31.0,2
11947700,0.2465753424657534,90,275,365,2.0,1125.0,2
12122249,0.4602739726027397,168,197,365,3.0,1125.0,2
12168550,0.36164383561643837,132,233,365,2.0,3.0,105
12297370,0.19452054794520549,71,294,365,2.0,1125.0,3
12555804,0.6684931506849315,244,121,365,2.0,60.0,11
12581190,0.19452054794520549,71,294,365,5.0,1125.0,3
12690246,0.0,0,365,365,1.0,38.0,1
12756895,0.5095890410958904,186,179,365,2.0,1125.0,11
12760398,0.9972602739726028,364,1,365,27.64109589041096,730.0,2
12823817,0.7506849315068493,274,91,365,2.9945205479452053,14.0,28
12907297,0.043835616438356165,16,349,365,1.0,1125.0,3
12931646,0.0,0,365,365,2.0,1125.0,1
12938701,0.0,0,365,365,2.0,21.0,1
13165033,1.0,365,0,365,1.0,365.0,1
13251178,1.0,365,0,365,1.0,1125.0,1
13324587,0.4054794520547945,148,217,365,2.0,1125.0,2
13629934,0.6684931506849315,244,121,365,2.0,1125.0,17
13694897,1.0,365,0,365,1.0,1125.0,1
13735484,0.989041095890411,361,4,365,1.0,1125.0,2
13783969,0.7424657534246575,271,94,365,1.0,28.0,8
13824679,0.024657534246575342,9,356,365,1.5726027397260274,31.0,3
13974716,0.2465753424657534,90,275,365,1.0,365.0,29
14004437,0.2273972602739726,83,282,365,30.0,31.0,3
14036744,0.4876712328767123,178,187,365,28.0,1125.0,2
14067486,0.0,0,365,365,2.0,1125.0,1
14107264,0.9972602739726028,364,1,365,2.0,20.0,2
14157191,0.2054794520547945,75,290,365,1.4136986301369863,1125.0,7
14162538,0.41643835616438357,152,213,365,1.9753424657534246,1125.0,17
14162786,0.22465753424657534,82,283,365,1.1397260273972603,1125.0,17
14166780,0.24383561643835616,89,276,365,1.1452054794520548,1125.0,9
14338824,1.0,365,0,365,1.0,1125.0,1
14351034,0.2054794520547945,75,290,365,2.5205479452054793,1125.0,5
14397581,0.989041095890411,361,4,365,3.9863013698630136,180.0,2
14433136,0.021917808219178082,8,357,365,13.67945205479452,1125.0,3
14498825,0.989041095890411,361,4,365,2.0602739726027397,30.0,2
14612263,0.27123287671232876,99,266,365,20.0,1125.0,3
14621571,0.8328767123287671,304,61,365,1.9534246575342467,1125.0,40
14630639,0.473972602739726,173,192,365,2.0,1125.0,3
14740276,0.6383561643835617,233,132,365,1.0,1125.0,22
14758457,0.821917808219178,300,65,365,1.0,1125.0,50
