listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
11311871,0.7205479452054795,263,102,365,4.0,1125.0,7
11394496,0.9315068493150684,340,25,365,4.983561643835617,365.0,2
11417033,0.8794520547945206,321,44,365,1.284931506849315,1125.0,12
11451676,0.0,0,365,365,4.0,1124.0,1
11515357,0.0,0,365,365,3.0,31.0,1
11529140,0.6876712328767123,251,114,365,1.9972602739726026,90.0,7
11620357,0.1589041095890411,58,307,365,4.7095890410958905,730.0,5
11655698,0.6520547945205479,238,127,365,4.0,365.0,4
11676391,0.5643835616438356,206,159,365,6.0,1125.0,5
11676688,0.7342465753424657,268,97,365,6.0,1125.0,3
11720290,0.6767123287671233,247,118,365,6.0,1125.0,3
11735084,0.0,0,365,365,5.0,10.0,1
11864632,0.8712328767123287,318,47,365,1.0,1125.0,26
11870221,0.3589041095890411,131,234,365,3.989041095890411,1125.0,11
11901776,0.0,0,365,365,2.0,1125.0,1
12100361,0.10684931506849316,39,326,365,6.0,75.0,7
12124943,0.6602739726027397,241,124,365,2.0,90.0,5
12187361,0.8986301369863013,328,37,365,1.0,365.0,30
12240334,0.4465753424657534,163,202,365,2.4273972602739726,1125.0,7
12350376,0.11232876712328767,41,324,365,1.9945205479452055,1125.0,5
12421850,0.0,0,365,365,3.3013698630136985,139.73150684931508,1
12422528,0.0,0,365,365,1.0,28.0,1
12768764,0.20821917808219179,76,289,365,5.0,365.0,11
12828793,0.043835616438356165,16,349,365,1.0,14.0,20
12874579,0.11506849315068493,42,323,365,8.09041095890411,33.0,9
12987193,0.7068493150684931,258,107,365,1.0,2.0,34
12999409,0.2219178082191781,81,284,365,5.0,1125.0,5
13091537,0.0,0,365,365,2.0,7.0,1
13119191,0.0,0,365,365,4.0,28.0,1
13133203,0.2465753424657534,90,275,365,7.0,730.0,2
13237892,0.0273972602739726,10,355,365,2.0,14.0,5
13360791,0.09315068493150686,34,331,365,3.7041095890410958,1125.0,13
13369879,0.13972602739726028,51,314,365,1.0,4.0,27
13562638,0.4465753424657534,163,202,365,3.2849315068493152,1125.0,3
13635144,0.589041095890411,215,150,365,3.0,1125.0,12
13792660,0.15342465753424658,56,309,365,7.0,60.0,5
13828637,0.9315068493150684,340,25,365,2.9452054794520546,1125.0,6
13844007,0.0,0,365,365,1.0,7.0,1
13970388,0.6684931506849315,244,121,365,5.0,14.0,5
13993634,0.9232876712328767,337,28,365,1.4383561643835616,1125.0,20
14086064,0.0,0,365,365,5.0,14.0,1
14226753,0.0410958904109589,15,350,365,1.0,1125.0,11
14233480,0.0,0,365,365,2.0,14.0,1
14277343,0.5753424657534246,210,155,365,3.0,1125.0,9
14385904,0.9643835616438357,352,13,365,1.0,1125.0,4
14390717,0.958904109589041,350,15,365,1.0,1125.0,6
14442814,0.3726027397260274,136,229,365,1.0,1125.0,25
14483722,0.23835616438356164,87,278,365,3.0,1125.0,7
14519297,0.0,0,365,365,1.0,1125.0,1
14599886,0.7506849315068493,274,91,365,1.3232876712328767,365.0,11
14611969,0.18082191780821918,66,299,365,1.2465753424657535,850.9397260273972,19
14627596,0.12054794520547946,44,321,365,2.0,5.0,19
14710856,0.9972602739726028,364,1,365,4.136986301369863,1125.0,2
14821579,0.0,0,365,365,1.0,365.0,1
14943195,0.9260273972602739,338,27,365,3.0,1125.0,12
14994706,0.0,0,365,365,2.712328767123288,1125.0,1
15176944,0.0,0,365,365,1.2876712328767124,120.0,1
15223307,0.5095890410958904,186,179,365,2.0,1125.0,2
15223965,0.6986301369863014,255,110,365,2.0,365.0,62
15227718,0.0547945205479452,20,345,365,1.0,1125.0,14
15300345,0.7863013698630137,287,78,365,2.0,250.0,4
15372024,0.0,0,365,365,2.0,1125.0,1
15389056,0.8547945205479452,312,53,365,1.3232876712328767,1125.0,18
15397477,0.15342465753424658,56,309,365,5.0,1125.0,5
15397829,0.0,0,365,365,5.0,1125.0,1
15457289,0.2356164383561644,86,279,365,3.0,1125.0,5
15476981,1.0,365,0,365,100.0,1125.0,1
15519361,0.0,0,365,365,1.0,1125.0,1
15520066,0.0,0,365,365,3.0,14.0,1
15640695,0.3835616438356164,140,225,365,1.1452054794520548,10.0,23
15659149,0.0,0,365,365,2.0,1125.0,1
15724848,0.3232876712328767,118,247,365,1.0,5.0,15
15750112,0.39452054794520547,144,221,365,1.2876712328767124,12.0,3
15769877,0.989041095890411,361,4,365,1.0,1125.0,2
15797205,0.0,0,365,365,2.0,14.0,1
15797448,0.0,0,365,365,2.0,1125.0,1
15856894,0.2356164383561644,86,279,365,2.9945205479452053,730.0,5
15865760,0.15616438356164383,57,308,365,1.9863013698630136,1125.0,23
15934388,0.6904109589041096,252,113,365,2.0,1125.0,24
15960123,0.9616438356164384,351,14,365,1.0,1125.0,8
16036831,0.4986301369863014,182,183,365,2.9945205479452053,90.0,11
16199730,0.0,0,365,365,4.0,365.0,1
16565691,0.0,0,365,365,2.712328767123288,1125.0,1
16594174,0.0,0,365,365,2.0,60.0,1
16615118,0.0273972602739726,10,355,365,1.2821917808219179,1125.0,15
16740034,0.0,0,365,365,5.0,1125.0,1
16802181,0.3972602739726027,145,220,365,2.0,28.0,25
16892839,0.0821917808219178,30,335,365,1.0,1125.0,23
16928881,0.9917808219178083,362,3,365,3.0,14.0,4
16935897,0.8958904109589041,327,38,365,1.3232876712328767,1125.0,20
17011099,0.0,0,365,365,2.0,1125.0,1
17197474,0.0,0,365,365,4.232876712328767,1125.0,1
17211150,0.8684931506849315,317,48,365,2.0383561643835617,1125.0,28
17236942,0.9671232876712329,353,12,365,1.0575342465753426,1125.0,2
17247211,0.3178082191780822,116,249,365,1.0,1125.0,3
17252638,0.0684931506849315,25,340,365,2.010958904109589,1125.0,11
17306490,0.31232876712328766,114,251,365,2.8547945205479452,7.0,3
17313318,0.23835616438356164,87,278,365,3.0,1125.0,5
17401026,0.0,0,365,365,2.0,1125.0,1
17405811,0.3780821917808219,138,227,365,2.0,60.0,96
17420968,0.9698630136986301,354,11,365,1.0273972602739727,30.0,6
17461146,0.0,0,365,365,2.0,444.0,1
17480532,0.3178082191780822,116,249,365,11.621917808219179,1125.0,5
17613516,0.0,0,365,365,2.0,1125.0,1
17614780,0.0,0,365,365,4.0,17.0,1
17674434,0.1643835616438356,60,305,365,5.0,1125.0,5
17863124,0.08493150684931507,31,334,365,1.0,730.0,5
17873565,0.936986301369863,342,23,365,1.3205479452054794,1125.0,20
17875182,0.9205479452054794,336,29,365,1.3232876712328767,1125.0,24
17875273,0.8876712328767123,324,41,365,1.3205479452054794,1125.0,28
17875494,0.8575342465753425,313,52,365,1.3232876712328767,1125.0,28
17902476,0.2356164383561644,86,279,365,14.0,365.0,3
18011612,0.1095890410958904,40,325,365,2.0,30.0,19
18037407,0.0958904109589041,35,330,365,2.0,30.0,25
18056747,0.0027397260273972603,1,364,365,2.0,1125.0,3
18100599,0.5068493150684932,185,180,365,1.126027397260274,365.0,101
18110143,0.12876712328767123,47,318,365,2.9917808219178084,90.0,5
18129366,0.0,0,365,365,4.0,21.0,1
18132590,0.3095890410958904,113,252,365,2.797260273972603,1125.0,3
18169604,0.0,0,365,365,15.0,730.0,1
18224845,0.5150684931506849,188,177,365,1.0410958904109588,365.0,97
18225225,0.4986301369863014,182,183,365,1.1972602739726028,365.0,99
18273700,0.736986301369863,269,96,365,4.0,1125.0,3
18420260,0.2191780821917808,80,285,365,2.0,1125.0,41
18710590,0.4602739726027397,168,197,365,2.0,14.0,7
18752694,0.005479452054794521,2,363,365,1.0,2.0,3
